analysis_name,feature,n_subjects_available,n_subjects_expected_in_analysis,median_PreHI,median_HI,median_difference,bootstrap_ci_95_low_median_difference,bootstrap_ci_95_high_median_difference,median_percentage_change,n_increased,n_decreased,n_unchanged,direction_consistency,dominant_direction,wilcoxon_statistic,wilcoxon_p_value,rank_biserial_effect_size,bootstrap_ci_excludes_zero,bh_fdr_p_value_within_analysis,bh_fdr_significant_within_analysis,absolute_rank_biserial_effect_size,omitted_patient
leave_one_out_exclude_8452,fd_median,19,19,2.93,1.86,-0.25,-0.8,0.11000000000000032,-5.660377358490571,7,12,0,0.631578947368421,decreased_during_HI,52.0,0.08742904663085938,-0.45263157894736844,False,0.08742904663085938,False,0.45263157894736844,8452
leave_one_out_exclude_10013,QRS_mean,19,19,0.1368522585,0.14475,0.004460272000000015,-0.0014142014999999897,0.03041363349999998,3.3968750398655754,11,8,0,0.5789473684210527,increased_during_HI,45.0,0.044559478759765625,0.5263157894736842,False,0.1091461181640625,False,0.5263157894736842,10013
leave_one_out_exclude_10013,kurtosis,19,19,5.75,5.67,0.8499999999999996,0.125,1.7299999999999986,22.02702702702701,14,5,0,0.7368421052631579,increased_during_HI,47.0,0.05457305908203125,0.5052631578947369,True,0.1091461181640625,False,0.5052631578947369,10013
leave_one_out_exclude_10013,fuzzyEntropy,19,19,0.22,0.24,-0.01999999999999999,-0.07,0.0,-10.52631578947368,5,12,2,0.631578947368421,decreased_during_HI,43.0,0.11247621043596484,-0.43790849673202614,False,0.156402587890625,False,0.43790849673202614,10013
leave_one_out_exclude_10013,entropyProfiled_maximum_sampleEntropy,19,19,2.4850000000000003,2.4,-0.19000000000000006,-0.6150000000000002,0.0,-11.764705882352951,5,12,2,0.631578947368421,decreased_during_HI,35.0,0.04946849467368889,-0.5424836601307189,False,0.1091461181640625,False,0.5424836601307189,10013
leave_one_out_exclude_10013,fd_mean,19,19,8.24,7.27,-0.34000000000000075,-0.79,0.15499999999999758,-4.4678055190538855,7,12,0,0.631578947368421,decreased_during_HI,59.0,0.156402587890625,-0.37894736842105264,False,0.156402587890625,False,0.37894736842105264,10013
leave_one_out_exclude_10013,fd_median,19,19,2.975,1.86,-0.07499999999999996,-0.5700000000000003,0.11000000000000032,-5.285412262156448,7,12,0,0.631578947368421,decreased_during_HI,59.0,0.156402587890625,-0.37894736842105264,False,0.156402587890625,False,0.37894736842105264,10013
leave_one_out_exclude_26398,QRS_mean,19,19,0.1368522585,0.157876923,0.016255105500000006,-0.0014142014999999897,0.03041363349999998,8.40836472039211,11,8,0,0.5789473684210527,increased_during_HI,42.0,0.03234100341796875,0.5578947368421052,False,0.11042675108542957,False,0.5578947368421052,26398
leave_one_out_exclude_26398,kurtosis,19,19,6.210000000000001,6.1,1.1349999999999998,0.125,2.200000000000001,22.02702702702701,14,5,0,0.7368421052631579,increased_during_HI,45.0,0.044559478759765625,0.5263157894736842,True,0.11042675108542957,False,0.5263157894736842,26398
leave_one_out_exclude_26398,fuzzyEntropy,19,19,0.22,0.235,-0.01999999999999999,-0.09000000000000002,0.0,-10.52631578947368,5,12,2,0.631578947368421,decreased_during_HI,42.0,0.1021457608201883,-0.45098039215686275,False,0.15321864123028245,False,0.45098039215686275,26398
leave_one_out_exclude_26398,entropyProfiled_maximum_sampleEntropy,19,19,2.28,2.285,-0.19000000000000006,-0.6149999999999998,0.0,-11.764705882352951,5,12,2,0.631578947368421,decreased_during_HI,36.0,0.055213375542714785,-0.5294117647058824,False,0.11042675108542957,False,0.5294117647058824,26398
leave_one_out_exclude_26398,fd_mean,19,19,7.665,6.970000000000001,-0.34000000000000075,-0.6949999999999994,0.15499999999999758,-4.4678055190538855,7,12,0,0.631578947368421,decreased_during_HI,62.0,0.1956329345703125,-0.3473684210526316,False,0.1956329345703125,False,0.3473684210526316,26398
leave_one_out_exclude_26398,fd_median,19,19,2.93,1.86,-0.07499999999999996,-0.5700000000000003,0.11000000000000032,-5.285412262156448,7,12,0,0.631578947368421,decreased_during_HI,59.0,0.156402587890625,-0.37894736842105264,False,0.18768310546875,False,0.37894736842105264,26398
leave_one_out_exclude_26502,QRS_mean,19,19,0.1368522585,0.157876923,0.016255105500000006,-0.0002500000000000002,0.03041363349999998,8.40836472039211,12,7,0,0.631578947368421,increased_during_HI,37.0,0.0180816650390625,0.6105263157894737,False,0.07404899597167969,False,0.6105263157894737,26502
leave_one_out_exclude_26502,kurtosis,19,19,5.75,5.67,0.8499999999999996,0.125,2.200000000000001,27.34617775015539,14,5,0,0.7368421052631579,increased_during_HI,46.0,0.049365997314453125,0.5157894736842106,True,0.07404899597167969,False,0.5157894736842106,26502
leave_one_out_exclude_26502,fuzzyEntropy,19,19,0.22,0.235,-0.01999999999999999,-0.09000000000000002,0.0,-11.111111111111107,5,13,1,0.6842105263157895,decreased_during_HI,43.0,0.06399596863607887,-0.49707602339181284,False,0.07679516236329464,False,0.49707602339181284,26502
leave_one_out_exclude_26502,entropyProfiled_maximum_sampleEntropy,19,19,2.28,2.285,-0.3200000000000003,-0.6150000000000002,0.0,-16.309012875536485,5,13,1,0.6842105263157895,decreased_during_HI,37.0,0.034669963150986444,-0.5672514619883041,False,0.07404899597167969,False,0.5672514619883041,26502
leave_one_out_exclude_26502,fd_mean,19,19,7.665,6.970000000000001,-0.3900000000000001,-0.79,0.1499999999999999,-5.252525252525248,6,13,0,0.6842105263157895,decreased_during_HI,54.0,0.104156494140625,-0.43157894736842106,False,0.104156494140625,False,0.43157894736842106,26502
leave_one_out_exclude_26502,fd_median,19,19,2.93,1.86,-0.25,-0.8,0.09999999999999987,-5.660377358490571,6,13,0,0.6842105263157895,decreased_during_HI,46.0,0.049365997314453125,-0.5157894736842106,False,0.07404899597167969,False,0.5157894736842106,26502
