feature,feature_family,excluded_patient_id,n_paired_patients,median_PreHI,median_HI,median_delta_HI_minus_PreHI,n_increase,n_decrease,n_no_change,dominant_direction,direction_consistency,wilcoxon_p,rank_biserial_effect_size,bootstrap_median_delta_ci_low,bootstrap_median_delta_ci_high,bootstrap_ci_excludes_zero,loo_status,analysis_type,baseline_dominant_direction,baseline_median_delta_HI_minus_PreHI,baseline_direction_consistency,baseline_wilcoxon_p,baseline_rank_biserial_effect_size,baseline_bootstrap_ci_excludes_zero,direction_matches_baseline,median_delta_sign_matches_baseline,direction_consistency_drop,p_value_ratio_vs_baseline,potentially_influential_patient_flag
HRV_pNN50,HRV,1855,19,44.44444444,32.62605042,-11.334945930000009,7,12,0,decrease,0.631578947368421,0.049365997314453125,-0.5157894736842106,-16.41573228500001,1.5062300949999994,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,0.018421052631579005,1.8529495990836198,0
HRV_pNN50,HRV,26398,19,44.44444444,29.30608717,-11.334945930000009,7,12,0,decrease,0.631578947368421,0.049365997314453125,-0.5157894736842106,-17.378747184999998,1.5062300949999994,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,0.018421052631579005,1.8529495990836198,0
HRV_pNN50,HRV,26502,19,44.44444444,29.30608717,-11.356644789999995,6,13,0,decrease,0.6842105263157895,0.02298736572265625,-0.5894736842105263,-17.378747184999998,1.5062300949999994,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,-0.03421052631578947,0.8628293241695304,0
HRV_pNN50,HRV,27245,19,45.032144945,32.62605042,-11.334945930000009,7,12,0,decrease,0.631578947368421,0.044559478759765625,-0.5263157894736842,-17.378747184999998,1.5062300949999994,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,0.018421052631579005,1.6725372279495991,0
HRV_pNN50,HRV,30071,19,45.032144945,32.62605042,-11.356644789999995,7,12,0,decrease,0.631578947368421,0.025821685791015625,-0.5789473684210527,-17.378747184999998,1.5062300949999994,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,0.018421052631579005,0.9692153493699885,0
HRV_pNN50,HRV,30851,19,45.032144945,32.62605042,-11.356644789999995,6,13,0,decrease,0.6842105263157895,0.0180816650390625,-0.6105263157894737,-17.378747184999998,0.0340006200000004,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,-0.03421052631578947,0.6786941580756014,0
HRV_pNN50,HRV,491,19,44.44444444,32.62605042,-11.334945930000009,7,12,0,decrease,0.631578947368421,0.049365997314453125,-0.5157894736842106,-16.41573228500001,1.5062300949999994,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,0.018421052631579005,1.8529495990836198,0
HRV_pNN50,HRV,57091,19,44.44444444,29.30608717,-11.334945930000009,7,12,0,decrease,0.631578947368421,0.040130615234375,-0.5368421052631579,-17.378747184999998,1.5062300949999994,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,0.018421052631579005,1.5063001145475372,0
HRV_pNN50,HRV,59285,19,45.032144945,29.30608717,-11.356644789999995,6,13,0,decrease,0.6842105263157895,0.01082611083984375,-0.6526315789473685,-17.378747184999998,0.0340006200000004,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,-0.03421052631578947,0.4063573883161512,0
HRV_pNN50,HRV,638,19,45.032144945,29.30608717,-11.356644789999995,6,13,0,decrease,0.6842105263157895,0.0180816650390625,-0.6105263157894737,-17.378747184999998,0.0340006200000004,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,-0.03421052631578947,0.6786941580756014,0
HRV_pNN50,HRV,70447,19,44.44444444,29.30608717,-11.356644789999995,6,13,0,decrease,0.6842105263157895,0.014068603515625,-0.631578947368421,-17.378747184999998,0.0340006200000004,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,-0.03421052631578947,0.5280641466208477,0
HRV_pNN50,HRV,80436,19,44.44444444,29.30608717,-11.334945930000009,7,12,0,decrease,0.631578947368421,0.049365997314453125,-0.5157894736842106,-16.41573228500001,1.5062300949999994,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,0.018421052631579005,1.8529495990836198,0
HRV_pNN50,HRV,8452,19,45.032144945,32.62605042,-11.356644789999995,7,12,0,decrease,0.631578947368421,0.025821685791015625,-0.5789473684210527,-17.378747184999998,1.5062300949999994,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,0.018421052631579005,0.9692153493699885,0
HRV_pNN50,HRV,88503,19,45.032144945,32.62605042,-11.334945930000009,7,12,0,decrease,0.631578947368421,0.044559478759765625,-0.5263157894736842,-17.378747184999998,1.5062300949999994,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,0.018421052631579005,1.6725372279495991,0
HRV_pNN50,HRV,90396,19,44.44444444,29.30608717,-11.334945930000009,7,12,0,decrease,0.631578947368421,0.049365997314453125,-0.5157894736842106,-16.41573228500001,1.5062300949999994,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,0.018421052631579005,1.8529495990836198,0
